========================================
  海外利益保护情报预警平台 - 后端服务
  版本: 2.0.0 (PostgreSQL)
  端口: 3000
  环境: development
========================================
[DB] 连接失败: 
[SELF-CLEAN] osint_intel 无需清理，200 条
[SELF-CLEAN] socmint_intel 无需清理，6 条
[AUTO-ENGINE] 自动采集引擎启动 | 深度检索每5分钟 / 社交通道每10分钟
[2026-08-06T20:20:32.901Z] GET /api/media?status=1
[2026-08-06T20:20:32.902Z] POST /api/intel/osint_intel
[2026-08-06T20:20:32.908Z] GET /api/media?status=1
[2026-08-06T20:20:32.908Z] POST /api/intel/osint_intel
[2026-08-06T20:20:32.914Z] GET /api/media?status=1
[2026-08-06T20:20:32.915Z] GET /api/media?status=1
[2026-08-06T20:20:32.916Z] GET /api/media?status=1
[2026-08-06T20:20:32.917Z] GET /api/media?status=1
[2026-08-06T20:20:32.919Z] GET /api/media?status=1
[2026-08-06T20:20:32.922Z] GET /api/media?status=1
[2026-08-06T20:20:32.923Z] POST /api/intel/geopolitical_intel
[2026-08-06T20:20:32.928Z] GET /api/media?status=1
[2026-08-06T20:20:32.930Z] POST /api/intel/osint_intel
[2026-08-06T20:20:32.930Z] GET /api/media?status=1
[2026-08-06T20:20:32.938Z] GET /api/media?status=1
[2026-08-06T20:20:32.940Z] GET /api/media?status=1
[2026-08-06T20:20:32.942Z] GET /api/media?status=1
[2026-08-06T20:20:32.945Z] GET /api/media?status=1
[2026-08-06T20:20:32.946Z] POST /api/intel/osint_intel
[2026-08-06T20:20:32.946Z] GET /api/media?status=1
[2026-08-06T20:20:32.954Z] GET /api/media?status=1
[2026-08-06T20:20:32.954Z] POST /api/intel/osint_intel
[2026-08-06T20:20:32.960Z] GET /api/media?status=1
[2026-08-06T20:20:32.961Z] GET /api/media?status=1
[2026-08-06T20:20:32.974Z] GET /api/media?status=1
[2026-08-06T20:20:32.976Z] GET /api/media?status=1
[2026-08-06T20:20:32.977Z] GET /api/media?status=1
[2026-08-06T20:20:32.979Z] GET /api/media?status=1
[2026-08-06T20:20:32.980Z] GET /api/media?status=1
[2026-08-06T20:20:32.983Z] POST /api/intel/osint_intel
[2026-08-06T20:20:32.990Z] GET /api/media?status=1
[2026-08-06T20:20:32.991Z] GET /api/media?status=1
[2026-08-06T20:20:32.993Z] GET /api/media?status=1
[2026-08-06T20:20:32.993Z] POST /api/intel/osint_intel
[2026-08-06T20:20:32.994Z] GET /api/media?status=1
[2026-08-06T20:20:33.000Z] POST /api/intel/osint_intel
[2026-08-06T20:20:33.001Z] GET /api/media?status=1
[2026-08-06T20:20:33.006Z] GET /api/media?status=1
[2026-08-06T20:20:33.007Z] GET /api/media?status=1
[2026-08-06T20:20:33.021Z] POST /api/intel/osint_intel
[2026-08-06T20:20:33.022Z] GET /api/media?status=1
[2026-08-06T20:20:33.023Z] GET /api/media?status=1
[2026-08-06T20:20:33.025Z] GET /api/media?status=1
[2026-08-06T20:20:33.026Z] POST /api/intel/osint_intel
[2026-08-06T20:20:33.034Z] GET /api/media?status=1
[2026-08-06T20:20:33.042Z] GET /api/media?status=1
[2026-08-06T20:20:33.043Z] GET /api/scrape?category=terror_events
[2026-08-06T20:20:33.045Z] GET /api/scrape?category=security_events
[2026-08-06T20:20:33.047Z] GET /api/scrape?category=public_health
[2026-08-06T20:20:33.050Z] GET /api/scrape?category=military_conflicts
[2026-08-06T20:20:33.053Z] GET /api/scrape?category=political_events
[2026-08-06T20:20:33.054Z] GET /api/scrape?category=natural_disasters
[2026-08-06T20:20:33.291Z] GET /api/scrape?category=sanctions_data
[2026-08-06T20:20:33.292Z] GET /api/scrape?category=social_unrest
[TRANSLATE] 并行采集即译：20/20 个字段译成中文
[2026-08-06T20:20:33.849Z] GET /api/scrape?category=infrastructure
[2026-08-06T20:20:33.924Z] GET /api/scrape?category=geopolitical_intel
[TRANSLATE] 并行采集即译：54/54 个字段译成中文，另本地化国家名 5 条
[2026-08-06T20:20:34.652Z] GET /api/scrape?category=osint_intel
[TRANSLATE] 并行采集即译：84/84 个字段译成中文
[2026-08-06T20:20:34.675Z] GET /api/scrape?category=economic_risks
[2026-08-06T20:20:34.787Z] GET /api/media?limit=200
[2026-08-06T20:20:34.789Z] GET /api/scrape?all=1
[TRANSLATE] 并行采集即译：142/142 个字段译成中文
[2026-08-06T20:20:39.065Z] GET /api/sources
[2026-08-06T20:20:39.067Z] GET /api/media?status=1
[TRANSLATE] 并行采集即译：180/180 个字段译成中文
[TRANSLATE] 并行采集即译：38/38 个字段译成中文
[TRANSLATE] 并行采集即译：486/486 个字段译成中文，另本地化国家名 5 条
[TRANSLATE] 并行采集即译：1409/1409 个字段译成中文，另本地化国家名 2 条
[DB] 查询错误: 
[GLOBALMEDIA] PostgreSQL 入库异常（可能未启动），降级写入 osint_intel 文件缓存: 
[MERGE] osint_intel 新增 562 条（本批 726），缓存现 762 条
[GLOBALMEDIA] 直连 RSS 采集完成: 726 条，覆盖 36 国
[2026-08-06T20:21:32.833Z] GET /api/media?status=1
[2026-08-06T20:21:32.836Z] GET /api/media?status=1
[2026-08-06T20:21:32.838Z] GET /api/media?status=1
[2026-08-06T20:21:32.839Z] GET /api/media?status=1
[2026-08-06T20:21:32.840Z] POST /api/intel/military_conflicts
[2026-08-06T20:21:32.860Z] GET /api/media?status=1
[2026-08-06T20:21:32.862Z] GET /api/media?status=1
[2026-08-06T20:21:32.863Z] POST /api/intel/osint_intel
[2026-08-06T20:21:32.864Z] GET /api/media?status=1
[2026-08-06T20:21:32.879Z] GET /api/media?status=1
[2026-08-06T20:21:32.881Z] GET /api/media?status=1
[2026-08-06T20:21:32.882Z] GET /api/media?status=1
[2026-08-06T20:21:32.883Z] GET /api/media?status=1
[2026-08-06T20:21:32.885Z] POST /api/intel/sanctions_data
[2026-08-06T20:21:32.885Z] GET /api/media?status=1
[2026-08-06T20:21:32.886Z] GET /api/media?status=1
[2026-08-06T20:21:32.897Z] GET /api/media?status=1
[2026-08-06T20:21:32.899Z] GET /api/media?status=1
[2026-08-06T20:21:32.900Z] GET /api/media?status=1
[2026-08-06T20:21:32.902Z] GET /api/media?status=1
[2026-08-06T20:21:32.903Z] GET /api/media?status=1
[2026-08-06T20:21:32.904Z] GET /api/media?status=1
[2026-08-06T20:21:32.907Z] GET /api/media?status=1
[2026-08-06T20:21:32.909Z] GET /api/media?status=1
[2026-08-06T20:21:32.910Z] GET /api/media?status=1
[2026-08-06T20:21:32.911Z] GET /api/media?status=1
[2026-08-06T20:21:32.913Z] GET /api/media?status=1
[2026-08-06T20:21:32.914Z] GET /api/media?status=1
[2026-08-06T20:21:32.915Z] POST /api/intel/osint_intel
[2026-08-06T20:21:32.929Z] GET /api/media?status=1
[2026-08-06T20:21:32.931Z] GET /api/media?status=1
[2026-08-06T20:21:32.933Z] GET /api/media?status=1
[2026-08-06T20:21:32.934Z] GET /api/media?status=1
[2026-08-06T20:21:32.935Z] GET /api/media?status=1
[2026-08-06T20:21:32.937Z] GET /api/media?status=1
[2026-08-06T20:21:32.938Z] GET /api/media?status=1
[2026-08-06T20:21:32.939Z] GET /api/media?status=1
[2026-08-06T20:21:32.941Z] GET /api/media?status=1
[2026-08-06T20:21:32.941Z] POST /api/intel/osint_intel
[2026-08-06T20:21:32.942Z] GET /api/media?status=1
[2026-08-06T20:21:32.943Z] GET /api/media?status=1
[2026-08-06T20:21:32.944Z] GET /api/media?status=1
[2026-08-06T20:21:32.945Z] GET /api/media?status=1
[2026-08-06T20:21:32.948Z] POST /api/intel/osint_intel
[2026-08-06T20:21:32.957Z] POST /api/intel/osint_intel
[2026-08-06T20:21:32.958Z] GET /api/media?status=1
[2026-08-06T20:21:32.964Z] GET /api/media?status=1
[2026-08-06T20:21:32.965Z] POST /api/intel/osint_intel
[2026-08-06T20:21:32.965Z] GET /api/media?status=1
[2026-08-06T20:21:32.969Z] POST /api/intel/osint_intel
[2026-08-06T20:21:32.974Z] GET /api/media?status=1
[2026-08-06T20:21:32.976Z] GET /api/media?status=1
[2026-08-06T20:21:32.977Z] GET /api/media?status=1
[2026-08-06T20:21:32.984Z] GET /api/media?status=1
